aid class subclass
0266.51602.001 GALAXY null
0266.51602.006 GALAXY STARBURST
0266.51602.012 GALAXY STARFORMING
0266.51602.017 GALAXY STARFORMING
0266.51602.033 GALAXY STARFORMING
0266.51602.049 GALAXY STARFORMING
0266.51602.054 GALAXY STARFORMING
0266.51602.062 GALAXY STARFORMING
0266.51602.105 GALAXY STARBURST
0266.51602.122 GALAXY STARFORMING
0266.51602.141 GALAXY AGN
0266.51602.147 GALAXY STARFORMING
0266.51602.149 GALAXY STARFORMING
0266.51602.150 GALAXY STARFORMINGBROADLINE
0266.51602.155 GALAXY STARBURST
0266.51602.163 GALAXY STARFORMING
0266.51602.166 GALAXY null
0266.51602.180 GALAXY STARFORMING
0266.51602.202 GALAXY null
0266.51602.207 GALAXY STARFORMING
0266.51602.213 GALAXY AGNBROADLINE
0266.51602.227 GALAXY STARBURST
0266.51602.239 QSO AGNBROADLINE
0266.51602.286 GALAXY STARFORMING
0266.51602.287 GALAXY STARFORMING
0266.51602.303 GALAXY STARFORMING
0266.51602.324 GALAXY STARFORMING
0266.51602.340 GALAXY null
0266.51602.348 GALAXY STARFORMING
0266.51602.368 GALAXY null
0266.51602.381 GALAXY STARFORMING
0266.51602.416 GALAXY STARFORMING
0266.51602.418 GALAXY STARFORMING
0266.51602.436 GALAXY STARFORMING
0266.51602.439 GALAXY STARFORMING
0266.51602.463 GALAXY STARFORMING
0266.51602.501 GALAXY STARFORMING
0266.51602.504 GALAXY STARBURST
0266.51602.506 GALAXY STARFORMING
0266.51602.512 GALAXY STARFORMING
0266.51602.527 GALAXY STARFORMING
0266.51602.549 GALAXY STARFORMING
0266.51602.559 GALAXY STARBURST
0266.51602.581 GALAXY AGN
0266.51602.590 GALAXY STARFORMING
0266.51602.595 GALAXY STARFORMING
0266.51602.633 GALAXY STARFORMING
0266.51630.001 GALAXY STARFORMING
0266.51630.004 GALAXY STARFORMING
0266.51630.012 GALAXY STARFORMING
0266.51630.017 GALAXY STARFORMING
0266.51630.036 GALAXY STARFORMING
0266.51630.041 GALAXY STARFORMING
0266.51630.051 GALAXY STARFORMING
0266.51630.055 GALAXY STARFORMING
0266.51630.062 GALAXY STARFORMING
0266.51630.066 GALAXY STARFORMING
0266.51630.108 GALAXY STARBURST
0266.51630.120 GALAXY STARFORMING
0266.51630.128 GALAXY STARFORMING
0266.51630.138 GALAXY STARFORMING
0266.51630.141 GALAXY STARFORMINGBROADLINE
0266.51630.142 GALAXY null
0266.51630.146 GALAXY STARFORMING
0266.51630.147 GALAXY AGN
0266.51630.151 GALAXY STARBURST
0266.51630.156 GALAXY STARFORMING
0266.51630.160 GALAXY null
0266.51630.168 GALAXY STARFORMING
0266.51630.177 GALAXY null
0266.51630.180 GALAXY null
0266.51630.205 GALAXY null
0266.51630.216 GALAXY AGNBROADLINE
0266.51630.221 GALAXY STARBURST
0266.51630.285 GALAXY STARFORMING
