x y
-2.296703e-01 -6.662153e-02
-2.446159e-01  1.169340e-01
-1.575160e-01  3.407078e-02
-3.498370e-01 -5.257116e-01
-4.488624e-01 -3.059152e-01
-4.953133e-01 -3.834051e-01
-5.065559e-02  6.379138e-01
-5.363147e-01 -1.171397e-01
-5.001984e-01 -5.733241e-01
-3.561378e-01 -6.082683e-01
-3.861868e-01 -1.099031e-01
-3.673972e-01 -3.231394e-01
-4.989833e-01 -1.515750e-01
-4.572122e-01 -5.111292e-01
-6.528256e-01  1.189719e-01
-4.963201e-01 -7.878861e-01
 7.069754e-03  3.055875e-01
-3.838348e-01 -4.680688e-01
-8.300194e-01  4.798528e-01
-4.338975e-01 -6.533686e-01
-1.912469e-01  8.953540e-02
-1.543520e-01 -1.850031e-01
 2.276682e-01  6.299820e-01
-3.893901e-01 -4.454628e-01
-1.820792e-01 -2.038647e-01
-2.286519e-03 -4.146942e-02
-4.526699e-01 -4.700996e-01
-1.628824e-01 -6.898059e-01
-4.149952e-01 -5.440963e-01
-1.657415e-01  1.050670e-01
 1.207216e-01 -2.100344e-01
-4.309606e-01 -5.447965e-01
-3.857909e-01 -4.302070e-01
-7.747622e-01  1.911210e-01
-3.376863e-01 -4.483261e-01
-4.319732e-01 -2.654538e-01
 1.515429e-01  1.428894e-01
-4.212332e-01 -5.787851e-01
-3.951727e-01 -2.713131e-01
-4.357937e-01 -1.483751e-01
-1.700061e-01 -7.022222e-02
-3.125721e-01  5.662835e-02
-3.187294e-01 -4.343821e-01
 1.110850e-01  4.393382e-01
-4.403830e-01 -6.078345e-01
-2.121783e-01  1.373190e-02
-2.826684e-01 -7.700996e-02
-3.252313e-01 -3.524931e-01
-4.686859e-01 -7.363486e-01
-5.575043e-01 -2.895517e-01
-3.328122e-01 -4.463314e-02
 5.142866e-02  5.275101e-02
-3.711567e-01 -2.623711e-01
-4.742045e-01 -3.584936e-01
-3.735407e-01  1.674127e-01
-2.545871e-01 -3.813552e-01
-2.708541e-01 -1.912323e-01
 2.942818e-02  8.557527e-01
-3.735990e-01 -2.727161e-02
-4.627768e-01 -4.643506e-01
-3.872088e-01 -4.661670e-01
-4.873918e-01 -7.563936e-01
-3.158256e-01 -4.008358e-01
-4.143225e-01 -4.716504e-01
-4.853144e-01 -3.091109e-01
-2.121307e-01  3.597160e-01
-5.706393e-01 -2.625553e-01
-3.730353e-01 -4.492427e-01
-3.993844e-01 -3.665645e-01
-5.406760e-01 -2.990863e-01
-4.810788e-01 -3.322226e-01
-2.556110e-01  1.091548e-01
-4.188100e-01 -1.804069e-01
 3.717056e-02  5.562141e-01
-4.189863e-01 -1.558925e-01
-2.625634e-01 -1.836856e-01
-2.377806e-01  2.114563e-01
-1.681984e-01  1.228180e-01
-3.819886e-01 -3.046528e-01
-4.122755e-01 -2.559069e-01
-4.507888e-01 -5.103912e-01
-6.802972e-01  5.791100e-02
-4.918367e-01 -5.586108e-01
-1.251047e-01 -3.779394e-01
-4.531593e-01 -4.125083e-01
-5.190257e-01 -3.653665e-01
-4.154400e-02  2.284398e-01
-3.889702e-01 -3.870050e-01
-6.023913e-01 -5.313695e-02
-2.357418e-01  8.087041e-02
-3.533540e-01 -5.868057e-01
-4.522613e-01 -4.709521e-01
-3.544177e-01 -7.582979e-01
-3.231429e-01 -1.827434e-01
-3.301750e-01 -1.927153e-01
-4.409241e-01 -3.727848e-01
-4.460177e-01 -6.566952e-01
-4.487955e-01 -5.432358e-01
-4.065673e-01 -4.182762e-01
 3.062455e-02  3.682766e-01
-1.439967e-01  2.664206e-01
 8.834216e-02  2.970574e-01
-1.715950e-01 -6.310282e-03
 5.607636e-02 -8.747978e-02
-4.044181e-01 -4.756945e-01
-4.293431e-01 -6.653595e-01
-1.950356e-01  2.026871e-01
-4.975223e-01 -4.095318e-01
-1.413718e-01  7.300119e-02
-4.745763e-01 -6.463718e-01
-4.808085e-01 -8.882594e-01
-2.442442e-01 -6.969135e-01
-3.707267e-01 -5.347871e-01
-3.248953e-01  7.664972e-02
-3.719563e-01 -3.328900e-01
-1.023959e-01  2.433882e-01
-4.790418e-01 -4.039518e-01
-3.041573e-01 -4.099179e-01
-3.336929e-01 -4.127481e-01
-3.616913e-01 -6.883962e-01
-4.752902e-01 -5.519154e-01
-4.178999e-01 -2.324253e-01
-3.614504e-01 -4.167146e-01
-2.778429e-01 -4.570662e-01
-3.331086e-01 -2.216055e-01
-5.377915e-01 -1.026789e-01
-7.104341e-02  2.272803e-02
-3.636119e-01 -2.305274e-01
-5.393776e-01 -4.283865e-01
-2.498183e-01  3.034369e-01
-4.544201e-01 -4.543706e-01
-4.110599e-01 -4.038992e-01
-6.040881e-01 -1.269939e-01
-4.779451e-01 -3.227014e-01
-5.296110e-01 -3.546453e-01
-3.947816e-01 -4.366744e-01
-4.877379e-01 -3.902838e-01
 6.793756e-02  3.206129e-01
-3.978627e-01 -5.293595e-01
-1.549498e-01 -5.973052e-02
-6.158327e-02  2.824745e-01
-3.217534e-01 -3.794371e-01
-4.512584e-01 -4.905673e-01
-2.995805e-01 -1.927268e-01
-4.338233e-01 -5.616858e-01
-1.095705e+00  4.732689e-01
 1.596710e-02  9.773545e-02
-3.862158e-01 -5.923265e-01
-2.720423e-01 -2.192563e-02
-5.048063e-01 -4.620940e-01
-5.096431e-01 -3.994150e-01
 2.542603e-02 -1.535218e-01
-1.648994e-01  3.139769e-01
-3.305524e-01 -4.872904e-01
-3.730799e-02  3.690389e-01
-8.485957e-01  2.609406e-01
-5.967070e-01 -1.167326e-01
-2.814395e-01 -3.348940e-01
-3.397063e-01 -3.195090e-01
-4.830363e-01 -6.183832e-01
-4.816523e-01 -2.231907e-01
-3.206250e-01 -5.427596e-01
-2.737461e-03  1.124541e-01
-2.755585e-01 -7.835655e-02
 1.654314e-02  4.865577e-01
 6.068414e-02  1.869804e-01
-1.295453e-01 -2.364740e-01
-3.033168e-01 -4.669743e-01
 2.886564e-02  7.184882e-01
-1.086435e+00  4.477499e-01
-2.857807e-01 -2.396019e-01
-4.559018e-01 -6.610566e-01
-4.343779e-01 -4.656941e-01
-5.073368e-01 -3.248961e-01
-3.578821e-01 -1.284520e-01
-4.502228e-01 -4.792899e-01
-1.680411e-01 -2.191704e-01
-2.176332e-01 -2.111972e-01
-3.133280e-01 -1.353848e-01
-4.661805e-01 -5.164752e-01
-6.709314e-01 -2.644555e-03
-1.382629e-01 -3.620493e-01
-4.756213e-01 -3.570834e-01
-4.306641e-01 -6.899584e-01
 3.295368e-01  4.907368e-02
-1.712573e-02  1.140337e-01
-4.441759e-01 -6.549112e-01
-2.612458e-01 -3.019204e-01
-4.894161e-01 -3.791644e-01
-3.791898e-01 -6.048771e-01
-4.287029e-01  5.497181e-03
-4.303037e-01 -4.286674e-01
-2.938306e-01 -2.625264e-01
-4.347336e-01 -4.096931e-01
 1.969374e-01  2.658719e-01
-3.785864e-01 -6.472792e-01
-3.671943e-01 -4.448015e-01
-3.749326e-01 -2.804475e-01
-3.872661e-01 -3.795203e-01
-4.397400e-01 -5.763084e-01
-3.678827e-01 -4.242178e-01
-4.940858e-01 -2.528072e-01
 8.737820e-02  2.848157e-01
-2.703203e-01 -2.479449e-01
-1.007524e-01  8.723643e-01
-4.128429e-01 -1.831595e-01
-5.605200e-01 -2.663035e-01
-4.811355e-01 -3.655665e-01
-2.194318e-01  1.505280e-01
 1.048106e-01  3.417678e-01
-5.145348e-01 -6.135297e-01
-5.401219e-01 -2.305147e-01
-1.951170e-01 -2.812240e-01
-6.417176e-01  1.915271e-01
-4.238227e-01 -2.537027e-01
-1.432997e-01 -6.987336e-02
-3.665256e-01 -4.486357e-01
-3.938004e-01 -6.234785e-01
-5.805952e-01  1.202293e-02
-4.791786e-01 -3.107006e-01
-1.897661e-01 -3.611759e-01
-4.029925e-01 -4.699976e-01
-4.771251e-01 -4.485151e-01
-9.750896e-02  7.259773e-02
-4.671142e-01 -8.836465e-01
 1.515911e-01  3.935958e-01
-4.708477e-01 -5.462054e-01
-1.576922e-01  1.413324e-01
-3.911441e-01 -5.948797e-01
-3.570752e-01 -5.124925e-01
-6.338350e-01 -1.484271e-02
-1.968436e-01  3.262282e-01
-2.031605e-01 -3.460032e-01
-4.490760e-01 -5.693758e-01
-4.699813e-01 -3.755978e-01
-4.514953e-01 -4.465288e-01
-4.848513e-01 -6.879777e-01
-4.123381e-01 -3.071990e-01
-4.149920e-01 -6.096720e-01
-3.377879e-01 -6.463803e-01
 7.595917e-02 -5.065620e-02
-4.889780e-01 -3.136627e-01
-3.076955e-01 -3.396993e-01
 1.498714e-01  8.126291e-02
-2.427108e-01 -2.221161e-01
-2.490379e-01 -2.542894e-01
-4.216732e-01 -2.663947e-01
-2.435880e-01 -3.506588e-01
-4.454417e-01 -4.461869e-01
