x y
-0.2296703171  0.7653704803
-0.2446158915  1.0120353591
-0.1575160492  0.5228353137
-0.3498370486  1.4004343680
-0.4488623729  1.2267802868
-0.4953132649  1.1687625756
-0.0506555885  0.6433539620
-0.5363147301  1.3945917532
-0.5001984158  1.2900568823
-0.3561378263  1.3215570079
-0.3861867785  0.9592799501
-0.3673971909  1.0191578477
-0.4989833122  1.5849641091
-0.4572122011  1.2296818423
-0.6528255981  1.7758724746
-0.4963201193  1.3838333117
 0.0070697537  0.5774917998
-0.3838347607  1.1015408726
-0.8300193911  1.7817338389
-0.4338974805  1.2346438078
-0.1912468648  0.3905818786
-0.1543520125  0.3919930723
 0.2276682428  0.0207754882
-0.3893900642  1.5035183127
-0.1820792184  0.6070258784
-0.0022865188  0.3925210899
-0.4526699002  1.2289390425
-0.1628824220  1.2355536959
-0.4149951706  1.2245330626
-0.1657414624  0.9430986230
 0.1207216303 -0.3169529618
-0.4309605783  1.7675046463
-0.3857909223  1.0973961506
-0.7747622070  1.9946206567
-0.3376862509  1.2454139533
-0.4319732093  0.9336391125
 0.1515429123  0.1115985249
-0.4212331597  1.2137832993
-0.3951726702  1.6556185835
-0.4357937062  1.5581083016
-0.1700061399  0.7185016889
-0.3125720819  0.8044120591
-0.3187294306  1.1846914308
 0.1110849769  0.1319392952
-0.4403830328  1.6898147971
-0.2121782837  0.4307198879
-0.2826683655  0.6604860158
-0.3252312897  1.2951490966
-0.4686858930  1.2977823894
-0.5575043379  1.9426875023
-0.3328122083  1.0213960567
 0.0514286564  0.1209028176
-0.3711566861  1.2566455980
-0.4742045004  1.3114571684
-0.3735406791  0.6939027411
-0.2545871257  0.6152133348
-0.2708540592  0.8267225202
 0.0294281796  1.4157743832
-0.3735990396  0.6561940622
-0.4627768253  1.2011238972
-0.3872088021  0.9940970896
-0.4873918299  1.4977311081
-0.3158255922  1.2053397214
-0.4143224792  1.6496366177
-0.4853144289  1.7456836267
-0.2121307198  1.2767374592
-0.5706392996  1.5226528534
-0.3730353040  1.1553360375
-0.3993844214  1.3980615941
-0.5406759682  1.2937601996
-0.4810788208  1.3007693408
-0.2556109543  1.3026988190
-0.4188099973  0.6629466143
 0.0371705628  0.4867137760
-0.4189863301  0.9125939978
-0.2625634405  1.1352598985
-0.2377806021  1.4852244001
-0.1681984291  0.8331471119
-0.3819885663  0.9083777724
-0.4122754549  1.4778733802
-0.4507887868  1.7809362627
-0.6802972392  1.6500742823
-0.4918367380  1.3390537357
-0.1251046849  1.4879863311
-0.4531593270  0.7492724083
-0.5190256538  1.1710825774
-0.0415439980  1.1579702436
-0.3889702262  0.9575115115
-0.6023912903  1.3669829760
-0.2357418373  0.6125719541
-0.3533539634  1.3177082376
-0.4522613077  0.9446307019
-0.3544176859  1.3958329201
-0.3231428766  1.3038221999
-0.3301750207  0.8454081396
-0.4409241033  1.3562553795
-0.4460177471  1.3560449887
-0.4487955309  1.1601682930
-0.4065673434  1.1480470936
 0.0306245541 -0.0467236633
-0.1439966591  0.4981726606
 0.0883421596  0.0707764628
-0.1715949937  0.7411515989
 0.0560763562  0.8537590331
-0.4044180646  1.6823617181
-0.4293430641  1.2427649778
-0.1950356471 -0.0809219076
-0.4975222822  1.1395957585
-0.1413718245  0.4121244062
-0.4745762977  1.4521852508
-0.4808084655  1.4132159154
-0.2442441801  1.4501104816
-0.3707266599  1.3624636248
-0.3248953208  0.6823256187
-0.3719562666  1.2556824785
-0.1023958604  0.2174839442
-0.4790417930  1.5365710672
-0.3041573035  1.5945140916
-0.3336929425  0.6616234092
-0.3616913492  1.1593867010
-0.4752901597  0.9216344611
-0.4178998899  0.9777236053
-0.3614503773  1.7785564029
-0.2778428848 -0.1726307269
-0.3331085589  0.7935808674
-0.5377915049  1.5417788737
-0.0710434069  0.6879746200
-0.3636118563  1.1001981718
-0.5393775847  1.4114176615
-0.2498183246  0.3564083270
-0.4544201457  1.3004867880
-0.4110598735  0.8912586169
-0.6040880802  1.5597271274
-0.4779451202  1.1187936279
-0.5296109676  1.1078202672
-0.3947815947  1.3469785338
-0.4877379447  1.4877744974
 0.0679375554  0.7157527168
-0.3978626980  0.8785217955
-0.1549498457  0.8459657615
-0.0615832687  0.3334472745
-0.3217533779  1.1006117528
-0.4512583914  1.2857147966
-0.2995804857  0.5101426994
-0.4338233000  1.1905557923
-1.0957054715  1.9672062093
 0.0159670985  0.4513258085
-0.3862157529  1.8179023624
-0.2720422595  0.6233526815
-0.5048063051  1.1905837960
-0.5096430996  1.2940471613
 0.0254260306  1.1563371009
-0.1648994139  0.9184497424
-0.3305523884  1.2212577071
-0.0373079927 -0.0629838925
-0.8485956827  1.6455106914
-0.5967069965  1.6780082160
-0.2814394775  0.7424894646
-0.3397062811  0.7914099157
-0.4830363183  1.3214534343
-0.4816522999  0.8635013006
-0.3206250330  0.9778607293
-0.0027374606 -0.0277971616
-0.2755584677  0.7589875469
 0.0165431417  1.4348402533
 0.0606841425  0.8676442339
-0.1295453426  0.2931414835
-0.3033167763  0.9785913268
 0.0288656352  0.7867514221
-1.0864352221  1.6444582849
-0.2857807033  0.7091851296
-0.4559018130  1.3288483069
-0.4343778829  1.0747433209
-0.5073368093  1.5963551427
-0.3578821421  0.4158077276
-0.4502228337  1.0684827138
-0.1680410634  0.7681939616
-0.2176332452  0.3455697561
-0.3133279625  0.5145477527
-0.4661804848  1.3515450853
-0.6709313843  1.6219963029
-0.1382628992  1.2847013785
-0.4756212975  1.1238189860
-0.4306641155  1.6853923716
 0.3295367678  0.1525940779
-0.0171257265  0.1376705372
-0.4441758849  1.4641167944
-0.2612457961  1.1317469451
-0.4894161416  1.5491259268
-0.3791898040  1.0964581117
-0.4287029359  0.9842572017
-0.4303037216  1.2993547350
-0.2938305625  1.1435144201
-0.4347335540  1.3681938783
 0.1969373978  0.3240765797
-0.3785864086  1.3478761996
-0.3671943375  1.1306874940
-0.3749325718  1.2207616540
-0.3872661262  1.3548572395
-0.4397400048  1.4488299449
-0.3678826939  1.1616374807
-0.4940858323  1.5933414582
 0.0873782027 -0.1414628024
-0.2703203201  1.4187651750
-0.1007523583  1.5771009888
-0.4128429047  1.3872296062
-0.5605199937  1.8647186859
-0.4811354894  1.1060548401
-0.2194317904  0.8178957572
 0.1048105671  0.0784568181
-0.5145348116  1.3391531963
-0.5401218978  1.2425414283
-0.1951170208  0.6482624057
-0.6417175688  1.5279777126
-0.4238227141  0.9995654882
-0.1432997158  0.4075608495
-0.3665255690  1.4517403948
-0.3938003638  0.9772662124
-0.5805951817  1.6465507536
-0.4791786410  0.8968016977
-0.1897661276  0.9454193426
-0.4029924848  1.1624150361
-0.4771251327  1.6975518915
-0.0975089625  0.7098633174
-0.4671141807  1.5515719737
 0.1515910856  0.0265332645
-0.4708476994  1.2920122662
-0.1576922324  0.2588766294
-0.3911440592  1.1792357212
-0.3570752431  1.5052314009
-0.6338350078  1.6549462266
-0.1968435969  0.8694664101
-0.2031605080  0.7410727724
-0.4490759629  1.6855267768
-0.4699812632  1.5073835557
-0.4514952788  1.1851453577
-0.4848512632  1.0780578670
-0.4123381385  1.1471814722
-0.4149919609  0.9200711243
-0.3377879398  1.5507052034
 0.0759591703  0.4507108781
-0.4889779882  1.5619833938
-0.3076954590  0.7433529514
 0.1498714472  0.8947589944
-0.2427107629  0.6275706642
-0.2490378709  1.2918570462
-0.4216732287  0.9674075566
-0.2435880418  1.0959361022
-0.4454417376  0.9160852998
 0.0687637464 -0.1917890271
-0.4844074237  1.2333007716
-0.2063183054  0.4407517005
-0.1985130966  0.8005796216
-0.4947194200  1.3631417097
-0.4943253622  1.4036180440
-0.1681698325  1.2852421624
-0.0169523324  0.7009631782
-0.3477629906  1.3222813324
-0.5099657150  1.4486908643
-0.3417784047  0.3734637216
-0.1657121435  0.5826314395
-0.2922152390  1.4121916552
-0.3717670563  1.1858536699
-0.6577521578  1.6034150454
-0.5017252594  1.3085003851
-0.4655503743  1.1598979010
-0.3971366326  0.8436687230
-0.3277225370  1.0631456371
-0.4306099182  1.4178866904
-0.0269265964  0.2484637176
-0.3027104821  0.7992026563
-0.4580646803  1.2092468488
-0.1946562957  0.9951523769
-0.4776630718  1.4046455956
-0.3616138862  1.8269425242
 0.0938379597  1.2276039357
-0.5289575440  1.3172064289
-0.3177922923  1.1022964662
-0.3307395990  0.6611498572
-0.2941259864  1.0395330877
 0.2064240163  0.0863598307
 0.1480241235  0.3106933123
-0.3497030044  1.1126385106
-0.3330580273  1.1936532249
-0.1134707476  0.8828659197
-0.4594968281  1.7476448193
-0.5345139269  1.5309293146
-0.7009092146  1.4628619958
-0.2540349996  0.9893608138
-0.1724723608  1.0979857300
-0.2947371565  1.6076587185
-0.2719427373  1.0572475801
-0.1941876310  0.9266510771
-0.3559546723  1.2828712453
-0.4305979103  1.3579348470
-0.2739808784  1.4740559244
-0.6590336525  1.3708275478
-0.4947965465  1.1693510905
-0.5369528780  1.1921212221
 0.1777892023 -0.0231916627
-0.2213262279  1.5871944423
-0.4705647287  1.2196107193
-0.5263382608  1.2468185212
-0.2825512239  0.9449759084
-0.4017276540  1.6269149396
 0.0164060351 -0.0310503190
-0.4494287717  1.1823290406
-0.5636266793  1.4423229557
-0.4645207034  1.0614147783
-0.2653014457  0.5583485088
 0.1024638393  0.0584260245
-0.3039658976  0.7871060930
-0.4750759587  1.1451964061
-0.1445859511  1.0366688103
-0.0215247148  0.1684974835
-0.1225553782  0.4905203094
-0.0277021639  0.1702617154
-0.3021391565  1.4210113030
-0.3696649539  1.1414497734
-0.4829350948  1.4183344423
-0.0312883669  0.9661417327
 0.0586021585  0.1705550585
-0.4785157263  1.2960066693
 0.1059264188  0.6097011024
-0.4190019472  1.3072820470
-0.3750503253  1.0859324456
-0.3119902418  1.5543801184
-0.2844511449  1.5240194404
-0.4642391614  1.3514484229
 0.1146634715  0.2076343674
-0.3581730612  0.9296743179
-0.5221826151  1.3134875739
-0.6149408223  1.2451423727
-0.5628944735  1.4488453955
-0.5021879429  1.4942659373
-0.4396275469  0.7943486039
-0.8938873332  1.8259905284
-0.0078984566  0.7677493673
-0.1245723546  1.0088981148
-0.4895163122  1.1534184850
-0.4411990915  1.0671080691
